[00:00.000 --> 00:03.880]  Good morning, Living Soil Nerds. Happy Thursday to you.
[00:03.880 --> 00:08.040]  You know, Leighton and myself, we've been kind of really going out of our way, hopefully,
[00:08.040 --> 00:13.320]  to bring you guests that are thought-provoking. You know, there's a lot of, you know, hopefully
[00:13.320 --> 00:17.840]  discussion going on, especially these last few episodes we've done, Leighton, where people
[00:17.840 --> 00:22.080]  just are trying to think about outside of the box. And, you know, Luna brought up some
[00:22.080 --> 00:26.440]  points to where the audience wanted to talk. You know, we dove deep with Marco yesterday.
[00:26.440 --> 00:30.600]  So there's a lot of new information that feels like coming out. Some people feel certain
[00:30.600 --> 00:36.000]  ways about both sides of things. But here, in my opinion, aquaponics is another one of
[00:36.000 --> 00:41.360]  those, right? I don't think enough people fully understand everything. So if one person
[00:41.360 --> 00:45.920]  says, this is how I feel about it, it seems like sometimes, you know, there's a lot of
[00:45.920 --> 00:49.080]  echo chambers with that, where you ask them like, all right, well, how long you've been
[00:49.080 --> 00:53.720]  growing with aquaponics? Well, I've never actually done it. Or, you know, my style is
[00:53.720 --> 00:58.720]  I don't use that style. So today, we've gone out of our way through Leighton to reach out
[00:58.720 --> 01:02.640]  to his buddy, Charlie, who was just telling me before we came live here that he's been
[01:02.640 --> 01:08.160]  doing this for 30 years. So I mean, talk about somebody that we can learn from. Obviously,
[01:08.160 --> 01:11.640]  experience goes a long, long way with this kind of stuff when you're first getting into
[01:11.640 --> 01:12.640]  it. Leighton?
[01:12.640 --> 01:20.080]  Yeah, Charlie, I met him back in, oh, God, was it 10, Charlie? Or nine? Or I don't even
[01:21.080 --> 01:22.080]  remember.
[01:22.080 --> 01:25.080]  It must be 10, probably. Yeah. 2010.
[01:25.080 --> 01:31.400]  The second annual World Aquaculture Aquaponics Conference down in Cancun, Mexico, with a
[01:31.400 --> 01:38.200]  lot of other cats that were pretty much the, you know, I'd say the superstars of the industry
[01:38.200 --> 01:43.880]  at that time. Since then, obviously, it's grown tremendously. But no, I had deep respect
[01:43.880 --> 01:48.320]  for Charlie. Again, he's been doing it for 30 plus years. He worked on the system called
[01:48.360 --> 01:58.040]  the UVI system, which I believe is probably the best approach to aquaponics while keeping
[01:58.040 --> 02:03.720]  it simple, stupid. So without further ado, Charlie, why don't you tell us about your
[02:03.720 --> 02:06.360]  background and how you got into this and where you came from?
[02:06.360 --> 02:11.720]  Awesome. Great. Thanks, Brian and Leighton for bringing me here. And I'm looking at the
[02:11.720 --> 02:15.960]  chats. It's really great to see that you all have not just people viewing, but people who
[02:15.960 --> 02:20.200]  are going to be interactive. I understand this is a three hour conversation that we're
[02:20.200 --> 02:26.960]  going to have and keeping it candid and just I'm a candid person at these this time in
[02:26.960 --> 02:32.920]  my life and most of my career. I have worked for a university or a college. I have been
[02:32.920 --> 02:37.920]  involved in private industry as well. So I understand a lot that goes with that. But
[02:37.920 --> 02:43.040]  right now, the way I like to say it is I'm open source. I'm in the knowledge business.
[02:43.040 --> 02:47.520]  Thank you for sharing these websites. They're going to come up as we as we have conversation
[02:47.520 --> 02:51.960]  today. I'd love for you all to check out our resources there and our program. I'll be talking
[02:51.960 --> 02:58.680]  about what I do. But it's a it's a fascinating time to be in this industry. So with a lot
[02:58.680 --> 03:03.840]  of experience I'm going to talk about here, we'll get to it as we talk different stories.
[03:03.840 --> 03:11.800]  But I'm probably most well known as being Jim Ricossi's mini me. Jim Ricossi was the
[03:11.800 --> 03:17.760]  some consider the god of aquaponics. He ran the UVI aquaponics system. He started that
[03:17.760 --> 03:25.400]  program. I spent about 13 years with him being the guy doing the aquaponics. He sat in the
[03:25.400 --> 03:31.600]  office and directed research and understood what we needed to focus on, on balancing aquaponics
[03:31.600 --> 03:38.340]  systems, how much fish feed goes in, how much plants you can grow and being very consistent
[03:38.340 --> 03:43.740]  in creating a production model for limited resource farmers. It's been copied around the
[03:43.740 --> 03:49.620]  world now. So that's my I would say claim to fame. But I discovered aquaponics a little while
[03:49.620 --> 03:55.620]  before that. As we talk today, you'll also understand that over 30 years, the industry has
[03:55.620 --> 04:01.680]  evolved, the industry has changed. We didn't even have the internet when I started aquaponics. So
[04:01.680 --> 04:07.460]  there was no podcast like this. There was no way to find this kind of information, except for a
[04:07.460 --> 04:14.140]  scientific journal. So if any of you remember the late 80s, early 90s, or prior to that, that's how
[04:14.140 --> 04:20.820]  we found information was doing literature reviews, going to the library, the card catalog, the Dewey
[04:20.820 --> 04:26.660]  decimal system that I don't even think exists anymore. So I started honing in on the little bit
[04:26.660 --> 04:32.860]  of research that was out there in the world. And I started to find Jim Ricossi and a couple other
[04:32.860 --> 04:38.420]  sites that were doing aquaponics. So I have been around since the beginning of this kind of new
[04:38.420 --> 04:46.140]  commercial sector of aquaponics or industrial way of doing aquaponics. But aquaponics, as most of
[04:46.140 --> 04:53.500]  your listeners know, have been around since ancient times, from Aztecs and floating gardens down in
[04:53.500 --> 04:58.340]  the Mexico region. If you haven't seen the chinampas, it's pretty fascinating because they
