[00:00.000 --> 00:01.340]  I did, I did.
[00:01.340 --> 00:02.400]  Hey, Peter.
[00:02.400 --> 00:04.400]  Yes, well, Leighton, we are now live.
[00:04.400 --> 00:08.160]  So do you want to say it live, whatever you're about to say?
[00:08.160 --> 00:09.280]  Yeah, I might as well.
[00:09.280 --> 00:14.440]  I just wanted to promote the vccompost.com, my compost
[00:14.440 --> 00:16.640]  hub, in California.
[00:16.640 --> 00:17.440]  Send a sample.
[00:17.440 --> 00:19.520]  I texted you a little picture, Peter,
[00:19.520 --> 00:21.440]  that I'd love you to put up at some point.
[00:21.440 --> 00:22.360]  I'll throw it up.
[00:22.360 --> 00:24.440]  So I just wanted to quickly, this was funny.
[00:24.440 --> 00:26.840]  Gemma wrote, I'm upstairs.
[00:26.840 --> 00:28.000]  See you soon.
[00:28.000 --> 00:33.600]  In my room, Gemma Hart, are you still packing up your seeds?
[00:33.600 --> 00:37.360]  Yes, no, I get to, it's a yes or no answer question.
[00:37.360 --> 00:39.320]  So anyway, that's.
[00:39.320 --> 00:44.480]  But you guys were just flexing your concentrate.
[00:44.480 --> 00:46.800]  So why don't we go around the horn.
[00:46.800 --> 00:49.200]  Let's start with TerpFountainGenetics.
[00:49.200 --> 00:52.720]  What are you dabbing on this morning?
[00:52.720 --> 00:57.400]  Well, this morning, I got some pie gas and full melt.
[00:57.400 --> 01:00.760]  I've been smoking on that a little bit, a little 90 micron.
[01:00.760 --> 01:06.160]  And then got my piegasm number three.
[01:06.160 --> 01:07.880]  Very nice.
[01:07.880 --> 01:10.720]  Kind of like a pop tart, kind of a red pop tart kind of terp
[01:10.720 --> 01:11.920]  to it.
[01:11.920 --> 01:15.240]  Real kind of pastry like, I would say.
[01:15.240 --> 01:19.200]  But not to be outdone, or wait, is there more?
[01:19.200 --> 01:19.800]  Oh, of course.
[01:19.800 --> 01:20.600]  There's a few more.
[01:20.600 --> 01:21.920]  OK, keep going, keep going.
[01:21.920 --> 01:25.880]  And by the way, is that a bra hanging in the background?
[01:25.880 --> 01:26.600]  Oh, it might be.
[01:26.600 --> 01:27.720]  I better fucking move that.
[01:27.720 --> 01:30.280]  I'm going to get in trouble.
[01:30.280 --> 01:31.960]  I love it.
[01:31.960 --> 01:33.080]  A little swoop.
[01:33.080 --> 01:34.800]  I shouldn't have said anything.
[01:40.440 --> 01:43.520]  So not to be outdone.
[01:43.520 --> 01:45.080]  Oh, that's looking good.
[01:45.080 --> 01:47.320]  Show off his breakfast cereal.
[01:47.320 --> 01:52.040]  That's the Sunday cereal, Viola.
[01:52.040 --> 01:53.800]  Nice.
[01:53.800 --> 01:54.300]  Yep.
[01:57.880 --> 01:59.320]  What are you smoking on, Peter?
[01:59.320 --> 02:01.520]  Layton?
[02:01.520 --> 02:03.680]  Right now, absolutely nothing.
[02:03.680 --> 02:06.840]  I got my handy little grinder here
[02:06.840 --> 02:11.360]  with some nice organic regen bud that I'll be diving
[02:11.360 --> 02:14.880]  into a little later today.
[02:14.880 --> 02:18.280]  I've been smoking for the past day or so
[02:18.280 --> 02:21.480]  on the mother's milk, which is soul spirit, which
[02:21.480 --> 02:26.240]  is placed in the Emerald Cup.
[02:26.240 --> 02:29.280]  One of the, I don't know, their categories are very,
[02:29.280 --> 02:34.760]  it's like third party sun grown.
[02:34.760 --> 02:37.520]  And I don't really know what the third party is in reference to,
[02:37.520 --> 02:40.680]  but anyway.
[02:40.680 --> 02:42.240]  Probably third party certified.
