[00:00.000 --> 00:02.440]  your shows. Yeah.
[00:04.320 --> 00:08.240]  Thanks, man. Appreciate it. Welcome, everyone. We're here to
[00:08.240 --> 00:11.960]  talk land races today with Jamal and Grasshopper. And I'm just
[00:11.960 --> 00:17.020]  here to run the board and let these guys talk about what they
[00:17.020 --> 00:20.640]  know. I'm gonna sit back and listen and maybe have some
[00:20.640 --> 00:23.640]  questions with along with the rest of you all later. So take
[00:23.640 --> 00:25.000]  it away, man. It's nice meeting you.
[00:25.480 --> 00:29.800]  Nice to meet you. Hello, everybody. My name is Jamal. I've
[00:29.800 --> 00:36.480]  been on the James Loud show before. I'm actually the the
[00:36.480 --> 00:41.680]  founding member of East Bay seed collective. We are a seed
[00:41.680 --> 00:44.840]  collective that focuses on land race genetics, heirloom
[00:44.840 --> 00:50.720]  genetics, elite cuts, and we share and breed with them as a
[00:50.720 --> 00:57.240]  group. We enjoy watching future cannabis project, we listen to
[00:57.240 --> 01:02.120]  these and talk about them as a group all the time. One of our
[01:03.920 --> 01:07.960]  one of the things that I saw that's kind of been missing is
[01:07.960 --> 01:12.440]  the conversation on African land race genetics. And so that was
[01:12.440 --> 01:18.200]  the impetus behind this conversation. And yeah, I hope
[01:18.200 --> 01:23.360]  that you guys enjoy it. My one of the guests that we have on is
[01:23.360 --> 01:26.000]  my good friend grasshopper, who's part of our seed
[01:26.000 --> 01:30.880]  collective. He brings a lot of wealth and experience to the
[01:30.880 --> 01:34.320]  table and has some very interesting stories that we're
[01:34.320 --> 01:39.480]  going to share today and you know, talk about African
[01:39.480 --> 01:43.720]  genetics. Good morning, grasshopper. How are you doing?
[01:44.240 --> 01:47.000]  Doing great. Thank you. Good morning, everyone. Greetings.
[01:47.960 --> 01:52.800]  Yeah, greetings. So I guess the first thing I wanted to talk
[01:52.800 --> 02:01.680]  about is, um, let's jump in with the, uh, let's, I mean, let's
[02:01.680 --> 02:06.640]  just jump in with the, with the why, why African genetics? I
[02:06.640 --> 02:11.840]  mean, they're not super common. Why do you breed with them,
[02:11.840 --> 02:12.400]  grasshopper?
[02:12.400 --> 02:15.680]  I breed with them because they, you know, they, they, they
[02:17.680 --> 02:25.850]  experience that they bring and it's just a different
[02:25.850 --> 02:30.650]  meditation. It's just a wonderful thing. And there's a
[02:30.650 --> 02:35.930]  lot of cool things about them. And I breed with them mainly,
[02:35.970 --> 02:37.330]  mainly for preservation.
[02:38.330 --> 02:49.490]  For sure. Um, so I've grown your axis by, by Cisguy. Um,
[02:49.490 --> 02:59.410]  Cisguy is a, is a, is a, is a, is a, is a, is a, is a, is a
[02:59.410 --> 03:09.210]  I've grown your axis by Cisguy. Um, and I actually hadn't really
[03:09.210 --> 03:12.930]  heard much of what's of Cisguy. Can you, would you be willing to
[03:12.930 --> 03:13.810]  elaborate on that one?
[03:15.130 --> 03:19.850]  Sure. I could, I could, um, tell you guys the story, how I
[03:19.850 --> 03:26.170]  understand it. Um, Cisguy, there was a group of people that was
[03:26.170 --> 03:30.770]  called the Bantu people or the Bantustan in South Africa region.
[03:30.810 --> 03:35.690]  And, um, during the time of apartheid, they were denied
[03:35.730 --> 03:42.250]  citizenship, um, to, to be a part of a South African country
[03:42.250 --> 03:46.650]  itself. So they had to, they, they were pushed out into like
[03:46.730 --> 03:51.610]  these, what you would refer to as more the South, Southeast part
[03:51.610 --> 03:57.170]  of South Africa. And these people included, uh, the people
[03:57.170 --> 04:00.170]  that we know from Transkei today, the people we know from
[04:00.170 --> 04:06.370]  Cisguy today, and those people are, are the Xhosa speaking
[04:06.370 --> 04:12.650]  people. And they are members of the Bantu, Bantustan. And the
[04:12.650 --> 04:18.690]  other member of the Bantustan was the, uh, Zulus. And, um, so
[04:18.730 --> 04:21.770]  they were denied citizenship and then they had to move a
[04:21.770 --> 04:24.490]  little bit more to the Southeast. And, and then the
[04:24.490 --> 04:29.970]  Zulus, they kind of, um, they kind of occupied the area around
[04:29.970 --> 04:34.650]  Swazulu, that we know as Swazulu. And then, um, Transkei
[04:34.690 --> 04:40.290]  and Cisguy, the Xhosa people, they kind of, kind of settled
[04:40.290 --> 04:46.090]  on, on each side of a bay kind of river, or I think it's a
[04:46.090 --> 04:49.530]  river. And this side is Transkei and the other side is
[04:49.530 --> 04:53.010]  Cisguy. That's basically what it means. And that's how those
[04:53.010 --> 04:55.970]  streams were preserved. Because if you notice the Durban's are
[04:55.970 --> 04:59.450]  hard to come by. But if you go to South Africa, you can easily
[04:59.450 --> 05:02.450]  come across Cisguy because, you know, when these people were
[05:02.450 --> 05:06.010]  pushed out, they took that with them, you know, and then you had
[05:06.010 --> 05:11.530]  the crackdown on the herb in the, you know, in the 30s, 40s,
[05:11.530 --> 05:15.330]  50s, 60s in South Africa under the Bota government and stuff
[05:15.330 --> 05:19.570]  like that. So that's why those things are available today. And
[05:19.570 --> 05:22.730]  that's one of the reasons I choose to try to source them
[05:22.730 --> 05:27.650]  from the source and preserve them because, you know, if you
[05:27.650 --> 05:32.650]  notice the Durban's are harder to come by. A lot of the other
[05:32.650 --> 05:35.610]  streams, some Lesotho's, and a lot of other streams that
[05:35.610 --> 05:39.050]  existed in South Africa kind of got pushed out. So we, we kind
[05:39.050 --> 05:42.730]  of have to, you know, be grateful for those people and
[05:42.730 --> 05:45.210]  those tribes that took those herbs with them when they were
[05:45.210 --> 05:47.770]  pushed out of South Africa. And that's why they're available
[05:47.770 --> 05:52.730]  today and they're the more common ones. You know, yeah,
[05:52.730 --> 05:55.690]  that's what I have to say about the Cisguy. And, and it's more
[05:55.690 --> 05:58.450]  South Africa, it's, it's, it's, it's, it's south of the
[05:58.450 --> 06:01.570]  equator. So they tend to be a little bit earlier, earlier
[06:01.570 --> 06:05.930]  finishing plant than if you go up into the center of Africa
[06:05.930 --> 06:08.330]  where it strikes, where the equator kind of runs down the
[06:08.330 --> 06:11.770]  middle of the Congo, then you get those 16, 18, 24 acres and
[06:11.770 --> 06:14.690]  stuff. But as soon as you move away from the equator, you go
[06:14.690 --> 06:17.690]  South Africa, you find that those streams finish in like
[06:17.690 --> 06:22.090]  14, some 12 acres, you know, that's, that's, they're kind of
[06:22.090 --> 06:25.690]  south of the equator and, you know, and farther away you go
[06:25.690 --> 06:29.650]  from the equator, the more you get, you know, into a more
[06:29.650 --> 06:32.650]  tropical vibe. And some of those places even have their winter
[06:32.650 --> 06:33.170]  and snow.
[06:35.490 --> 06:38.690]  I noticed that the ones you were all talking about were in South
[06:38.690 --> 06:42.330]  Africa. Is there a concentration of cannabis in South Africa, or
[06:42.330 --> 06:45.970]  is it just, is it pretty evenly spread throughout Africa?
[06:46.450 --> 06:49.770]  Mainly from, from, are you talking about South Africa
[06:49.770 --> 06:50.250]  itself?
[06:50.970 --> 06:53.530]  I was just saying it seemed like the strains that you were
[06:53.530 --> 06:59.290]  talking about are all over majority in South Africa. I was
[06:59.290 --> 07:02.970]  just curious if it's, if there's cannabis spread out throughout
[07:02.970 --> 07:05.290]  Africa, if there are specific locations that are more
[07:05.290 --> 07:06.010]  concentrated.
[07:07.690 --> 07:10.850]  Throughout the entire continent, and depending on what part of
[07:10.850 --> 07:14.210]  the continent you're at, you're going to hit those long
[07:14.210 --> 07:17.570]  flowering sativas that's very similar to the Colombian. They
[07:17.570 --> 07:22.450]  go, you know, 18, 16, 18, 20, 24 weeks, depending on what part
[07:22.450 --> 07:25.970]  of Africa you're getting them from, you know, because it's,
[07:26.010 --> 07:30.370]  you know, the equator kind of strikes through Colombia, through
[07:30.370 --> 07:35.890]  the Congo, and then it kind of strikes into, into some parts of
[07:35.890 --> 07:38.850]  Asia, like around Thailand and stuff. So you're gonna find that
[07:38.850 --> 07:42.210]  a lot of strains that sit right on the equator, where it's just
[07:42.210 --> 07:45.290]  a, where it's just a four to three year change of about 10
[07:45.290 --> 07:48.930]  minutes or so. Those are the ones that are taking, you know,
[07:48.930 --> 07:50.570]  those 20 weeks and stuff like that.
[07:51.530 --> 07:54.330]  Excuse me, Grasshopper, we have a couple requests, if you can
[07:54.330 --> 07:57.170]  turn your audio up a little bit so people can hear you.
[08:04.590 --> 08:06.950]  In the chats, let me let me know if that's better.
[08:06.950 --> 08:11.270]  Okay, well, so so throughout Africa, there's there's plenty
[08:11.270 --> 08:12.950]  of cannabis is basically what you're saying.
[08:13.270 --> 08:19.310]  Yeah, there's plenty, there's plenty. And, you know, from South
[08:19.310 --> 08:22.350]  Africa, all the way up to Morocco, you know, I mean, I
[08:22.350 --> 08:27.390]  consider Morocco to be like, you know, Africa as well. So you
[08:27.390 --> 08:30.110]  know, yeah, you could find different, you know, depending
[08:30.110 --> 08:33.270]  on the, on the region and the longitude latitude, then it'll
[08:33.270 --> 08:37.910]  You know, you find different flower period. But most part,
[08:39.350 --> 08:42.550]  across Africa, you know, most of the strains have
[08:45.150 --> 08:50.390]  Turkey, China, earthy flavor. That's what I discovered through
[08:50.390 --> 08:51.190]  most of the strains.
[08:54.830 --> 08:57.310]  Yeah, you're cutting out a little bit, but I'm just gonna
[08:57.310 --> 09:00.310]  say, you know, I'm just gonna say, you know, I'm not gonna
[09:01.110 --> 09:05.150]  Yeah, you're cutting out a little bit. But yeah, yeah, we
[09:05.150 --> 09:06.310]  can hear you. Um,
[09:08.470 --> 09:12.430]  yeah, definitely the earthy. Some like interesting carrot
[09:12.430 --> 09:14.390]  stuff I've heard you talk about before.
[09:14.990 --> 09:17.990]  Actually, you know, with that kind of Jack Herro kind of turf
[09:17.990 --> 09:21.790]  a little bit sweeter. And yeah, they're, they're pretty good.
[09:21.990 --> 09:24.310]  They're pretty good. And they're interesting. They
[09:26.190 --> 09:28.950]  Yeah, I love making hybrids from them and what they bring to the
[09:28.950 --> 09:29.510]  table.
