[00:00.000 --> 00:02.000]  1003
[00:02.000 --> 00:06.440]  All right, boys and girls. We are live. Welcome everyone. Take it away Brian
[00:07.040 --> 00:13.240]  Yeah, good morning living soil nerds last week was pretty epic for us. We were able to talk hash with a
[00:14.400 --> 00:18.160]  living legend somebody that was learning from legends and stuff like that and we had a lot of
[00:19.160 --> 00:23.960]  fantastic stories and memories that we were sharing and then unfortunately we found out that
[00:24.800 --> 00:29.540]  Most of the stories that we were sharing last Thursday were shared with a gentleman named Frenchy canoli
[00:30.000 --> 00:36.640]  And unfortunate for the community. He passed away on Sunday. And so I was hoping that we could just kind of start the show again
[00:36.640 --> 00:37.560]  I know
[00:37.560 --> 00:41.840]  Everybody here on the on the show today. It was a huge fan of him his work
[00:42.120 --> 00:49.220]  The way that he educated him as a human being there was definitely a light to him if you were ever able to smoke with him
[00:49.880 --> 00:55.160]  He's definitely one of those people that you would remember. I feel like whether you knew he was Frenchy canoli or not
[00:56.000 --> 01:02.560]  One quick story I had was I was able to smoke with him one time and we were walking down the streets and Palm Springs
[01:03.240 --> 01:06.620]  And there was a guy that was talking about how he'd never smoked hash before
[01:07.000 --> 01:09.560]  So the first time that that gentleman ever got to smoke hash
[01:09.560 --> 01:15.080]  He was smoking Frenchy canoli stuff having no idea who that gentleman was and just enjoying the evening
[01:15.080 --> 01:17.320]  So I thought that was really cool to watch Frenchy
[01:17.320 --> 01:21.880]  Just kind of always be giving always trying to open up people and I want to you know
[01:22.400 --> 01:27.880]  Obviously we brought Jim on because we want to talk about stuff. Unfortunately this happened, but I know that Jim's a huge fan of
[01:28.920 --> 01:30.760]  Frenchy canoli's work as well as Layton
[01:30.760 --> 01:34.620]  So I want to kind of open the show with that guys where you can kind of talk about that for a little bit
[01:34.620 --> 01:37.200]  And then Jim, of course, we want to get into your work as well
[01:37.440 --> 01:43.200]  it's just really unfortunate that we lost a living legend for our community for sure and I feel like
[01:43.640 --> 01:49.060]  All of the information and all the stuff that he's put out is something that is great about digital media because that will live on
[01:49.360 --> 01:51.360]  Hopefully forever
[01:52.560 --> 01:59.040]  Amen my friend amen, it was it was definitely a sad day in my life when I got home Monday night
[02:00.320 --> 02:01.960]  Pauline said
[02:01.960 --> 02:06.320]  Something's going on. What's going on with Frenchy? And I was like, I have no idea. What are you talking about?
[02:07.840 --> 02:12.880]  It was just devastating to lose such a you know huge pillar of the community
[02:13.540 --> 02:17.880]  You know the work that he did and the people he taught on so many levels
[02:18.600 --> 02:24.200]  You know, I I was blessed to have met him many times and hung out with him a number of times at the
[02:25.000 --> 02:28.000]  Regen conference and at the Dempure hive event
[02:28.840 --> 02:34.080]  And I will I will sorely miss him. My my probably favorite time was a
[02:34.600 --> 02:40.900]  Roadtrip that we did from the regen conference Sunday night. He came up to me looking for a ride
[02:40.900 --> 02:46.400]  I guess the person that was going to give him a ride back to San Francisco bailed on him and I said sure no problem
[02:46.400 --> 02:48.080]  I'll be more than happy to give you a ride down
[02:48.080 --> 02:52.960]  so we got three hours just to hang out and talk about family and kids and our loves and
[02:53.520 --> 02:55.520]  You know, he was just sweet
[02:56.200 --> 03:01.360]  Soulful guy and at the end of the trip, he handed me a big chunk of one of his temple balls
