[00:09.980 --> 00:10.980]  Oh, nice.
[00:10.980 --> 00:11.980]  Welcome, everybody.
[00:11.980 --> 00:18.340]  Yeah, those pictures with the true OG.
[00:18.340 --> 00:23.940]  Anybody in chat, if you knew who these men were standing next to, mention it in chat.
[00:23.940 --> 00:25.860]  We'll come up with something cool for you.
[00:25.860 --> 00:28.880]  But hey, everybody, welcome.
[00:28.880 --> 00:32.000]  Another edition of the Friendly Cannabis Show.
[00:32.000 --> 00:34.260]  And I'm pretty darn stoked for this one.
[00:34.260 --> 00:36.780]  And I'm ready to get into it because we didn't have much of a pre-show.
[00:36.780 --> 00:39.340]  We had technical issues to work through.
[00:39.340 --> 00:42.180]  We've got through them, and we're going to have a rad conversation.
[00:42.180 --> 00:44.340]  So I guess let me start it off first.
[00:44.340 --> 00:45.660]  We've got a returning guest.
[00:45.660 --> 00:47.860]  We got John M., Mr. Gross Face Killer.
[00:47.860 --> 00:49.500]  How you doing today?
[00:49.500 --> 00:50.540]  Very well, very well.
[00:50.540 --> 00:51.860]  Thank you, Chad, for having us.
[00:51.860 --> 00:53.380]  Yeah, my pleasure, dude.
[00:53.380 --> 00:54.940]  Thank you for making the time.
[00:54.940 --> 00:56.580]  You have been up to some cool things.
[00:56.580 --> 00:58.620]  I can't wait to hear about it.
[00:58.620 --> 01:02.660]  But one thing or one person that we heard a lot about the first time we talked, which
[01:02.660 --> 01:07.700]  if anybody wants to go back, check out that conversation, I believe it was about three
[01:07.700 --> 01:09.220]  or four months ago, maybe.
[01:09.220 --> 01:11.220]  But it was July 30th.
[01:11.220 --> 01:12.220]  OK, July 30th.
[01:12.220 --> 01:13.220]  I've done a lot since then.
[01:13.220 --> 01:15.620]  Damn, I bet you have done a lot.
[01:15.620 --> 01:18.420]  It's time flies.
[01:18.420 --> 01:22.300]  But I'm stoked because today's chef, Alex, is with us.
[01:22.300 --> 01:25.100]  And this is a person who you spoke very highly of.
[01:25.100 --> 01:28.740]  I was excited and eager to get you on.
[01:28.740 --> 01:30.140]  Thanks for making the time, Alex.
[01:30.140 --> 01:32.380]  How are you doing today?
[01:32.380 --> 01:33.700]  I'm doing very well, Chad.
[01:33.700 --> 01:34.540]  Thanks for having me.
[01:34.620 --> 01:37.900]  I appreciate you giving me an opportunity to join you on the show.
[01:37.900 --> 01:39.540]  Yeah, dude, absolutely.
[01:39.540 --> 01:40.540]  My pleasure.
[01:40.540 --> 01:46.380]  Like you guys, you know, just little humble and modest award winning growers over here.
[01:46.380 --> 01:49.740]  Just come on over, have a conversation.
[01:49.740 --> 01:51.100]  I love that.
[01:51.100 --> 01:57.100]  Now, one thing that, you know, we kind of got into on the previous shows was, John,
[01:57.100 --> 02:01.540]  you have a pretty holistic or an interesting approach to cannabis.
[02:01.540 --> 02:07.780]  So I'd love to maybe if you want to kind of refresh that for people that may have missed
[02:07.780 --> 02:14.300]  the first episode of just why you grow the way you do or what brought you to the way
[02:14.300 --> 02:15.300]  that you grow.
[02:15.300 --> 02:19.940]  And then I'm going to turn the tables on you to Chef Alex.
[02:19.940 --> 02:26.540]  But John, I guess a quick summary of that is that, you know, I've grown all different
[02:26.540 --> 02:28.660]  types of ways.
[02:28.660 --> 02:31.180]  You know, I'm in my 50s now.
[02:31.220 --> 02:33.020]  I'm into my 50s now.
[02:33.020 --> 02:37.100]  And, you know, it was always about creating the best medicine.
[02:37.100 --> 02:42.700]  And as I learn more about soil and the biology and being schooled by all of these great people
[02:42.700 --> 02:49.460]  that I've been inundating myself with all these podcasts and lectures and, you know,
[02:49.460 --> 02:55.420]  conferences for organic and like it's kind of led me to the path of this being like the
[02:55.420 --> 03:03.260]  gateway, not the gateway drug, but the gateway to growing healthy, you know, having a healthier
[03:03.260 --> 03:04.900]  life.
[03:04.900 --> 03:08.620]  Because once you start to learn about biology and that everything that we put in our body
[03:08.620 --> 03:15.580]  is pretty much poison because of modern agriculture, that, you know, we start to understand the
[03:15.580 --> 03:19.660]  soil and biology and that what we're producing is not medicine anymore.
[03:19.660 --> 03:25.220]  Food is supposed to be medicine, but modern agriculture has made it into poison.
[03:25.220 --> 03:31.940]  And it's kind of this wonderful synergy between learning about all these fascinating things
[03:31.940 --> 03:34.340]  and this plant that helps us so much, too.
[03:34.340 --> 03:37.780]  As a medication, I suffer from anxiety.
[03:37.780 --> 03:39.180]  I'm a type one diabetic.
[03:39.180 --> 03:42.220]  I have all these other things.
[03:42.220 --> 03:44.060]  People don't believe I'm 54.
[03:44.060 --> 03:47.380]  And I really feel it's a testament to this plant.
[03:47.380 --> 03:50.580]  But I am trying to practice what I preach.
[03:50.580 --> 03:56.780]  And I realize that there's so many ways that we can always be better or do better.
[03:56.780 --> 04:02.140]  But I just feel that it's stumbled across like understanding this plant made me understand
[04:02.140 --> 04:07.340]  a lot of the, you know, like our agriculture in this country.
[04:07.340 --> 04:13.660]  And of course, we're diseased because of what we put in our bodies and, you know, this bioaccumulation.
[04:13.700 --> 04:23.500]  So, yeah, so it's I'm really on this path now to try to be much better to myself for
[04:23.500 --> 04:30.020]  my diabetes, for the sake of just living healthier, longer and being here to take care of and,
[04:30.020 --> 04:37.180]  you know, for myself and for my loved ones, you know, and quality of life like we so sorry
[04:37.180 --> 04:41.140]  if I went off on many tangents, but that's where it's Chef and I connect.
[04:41.140 --> 04:46.060]  We really understand now what it means to do.
[04:46.060 --> 04:47.580]  And we're always striving to be better.
[04:47.580 --> 04:48.580]  We're not perfect.
[04:48.580 --> 04:53.260]  You know, it's time to be more practice what we preach or what we've known.
[04:53.260 --> 04:58.300]  It's just kind of and I see him 20 years behind me, but 20 years ahead of me, really, you
[04:58.300 --> 05:06.580]  know, so it's like, yeah, I torch and it's important to pass this on and not understand
[05:06.580 --> 05:12.660]  that this is also about, you know, all these plants, all these master plants we need to
[05:12.660 --> 05:14.460]  put into our diet.
[05:14.460 --> 05:15.460]  We're devoid.
[05:15.460 --> 05:16.460]  It's not on the shelf.
[05:16.460 --> 05:17.500]  It's not in the stores.
[05:17.500 --> 05:21.900]  We need to create it ourself and getting this plant and going out into the yard, growing
[05:21.900 --> 05:25.460]  your own vegetables, growing your own herbs, growing your own mushrooms.
[05:25.460 --> 05:28.340]  All these things are the superfoods that we don't put in our diet.
[05:28.340 --> 05:29.340]  And that's why we're sick.
[05:29.340 --> 05:32.140]  We're only as healthy as our gut biome.
[05:32.140 --> 05:36.380]  So I've kind of so sorry to go.
[05:36.380 --> 05:41.140]  I know we had talked for two and a half hours on your last show, and this time to really
[05:41.140 --> 05:44.020]  let the shine.
[05:44.020 --> 05:49.220]  I cleared I cleared my afternoon so we can go as long as we want, because two and a half
[05:49.220 --> 05:52.460]  hours last time wasn't long enough.
[05:52.460 --> 05:53.460]  But you're right.
[05:53.460 --> 05:56.500]  You know, I wish that I came into it earlier.
[05:56.500 --> 06:00.740]  You know, I was growing earlier, but I didn't understand a lot of the science behind it
[06:00.740 --> 06:04.660]  or a lot of the reasons why you want to do certain practices.
[06:04.660 --> 06:10.040]  And so, you know, yeah, for people who are starting at an earlier age with all the advancements
[06:10.040 --> 06:16.820]  that took years to learn, if you have that eagerness and, you know, just the curiosity,
[06:16.820 --> 06:19.100]  you go far with this thing.
[06:19.100 --> 06:23.180]  And I kind of you know, there's a lot of growers out there who treat their plants better than
[06:23.180 --> 06:27.020]  their own gut biome, which is funny that you mentioned that I'm kind of one of them, but
[06:27.020 --> 06:28.780]  I'm slowly coming around.
[06:28.820 --> 06:35.900]  And geez, I cut out some things from my life and I start feeling better and it all relates.
[06:35.900 --> 06:41.660]  So I guess, you know, Chef Alex, how did you maybe get on to the approach?
[06:41.660 --> 06:47.580]  Or let's first how so are you growing as well right now?
[06:47.580 --> 06:55.220]  Yes, yeah, I grow both indoor and outdoor and where you left off on the biome really
[06:55.220 --> 07:01.540]  picks up for me because part of the Probiotic Farmers Alliance is where I started.
[07:01.540 --> 07:03.380]  Yeah, that's cool.
[07:03.380 --> 07:04.860]  Give a shout out.
[07:04.860 --> 07:09.660]  I'll give a shout out to my old dude, Chris, who I used to cop from and kind of turned
[07:09.660 --> 07:12.260]  me on to growing.
[07:12.260 --> 07:16.480]  And we'd go, you know, just smoke and hang out and talk different strains.
[07:16.480 --> 07:21.100]  But then he'd have YouTube videos on MendoDope and Subcool.
[07:21.100 --> 07:24.460]  And you know, yeah, he was growing synthetically.
[07:24.460 --> 07:30.580]  And that's how I started to for the first few years as most people do.
[07:30.580 --> 07:34.860]  And you know, a lot of people say, but it's no judgment.
[07:34.860 --> 07:38.540]  I'm just happy that everybody's able to have a part of the plant and share their love and
[07:38.540 --> 07:41.420]  passion for it, you know.
[07:41.420 --> 07:47.860]  So it's been about eight years that I've been growing and about five of them, four and a
[07:48.660 --> 07:50.660]  About five years growing organically now.
[07:50.660 --> 07:55.660]  It's been, yeah.
[07:55.660 --> 07:59.620]  Are you using soil, soil-based medium or?
[07:59.620 --> 08:00.620]  I am, yeah.
[08:00.620 --> 08:06.780]  I use soil both inside and then I recycle it to use it outside.
[08:06.780 --> 08:13.540]  I'm on my fourth cycle outdoors in the sun on the coast of Maine in the same soil.
[08:13.580 --> 08:16.900]  I reamended every year and just use biology.
[08:18.580 --> 08:24.900]  Very cool. I have a similar approach where things come from inside to outside.
[08:24.900 --> 08:30.860]  I don't go outside to inside just as like I'm a very strict IPM person, you know, there's
[08:31.060 --> 08:33.340]  sure you could, yeah, you get away with it.
[08:33.340 --> 08:38.780]  But if you're very, if you're very yes or no with things, there's no maybe.
[08:39.380 --> 08:42.340]  So I'm very yes, it happens or no, it doesn't.
[08:43.300 --> 08:50.740]  So I make a point to work, work IPM as like a top priority.
[08:50.740 --> 08:57.620]  So the last season or two, I actually challenged myself to do what you said you wouldn't do,
[08:57.620 --> 08:59.140]  which is bring stuff outside.
[09:00.260 --> 09:06.380]  And well, I have a garage girl as well that is like in between outside and inside.
[09:06.380 --> 09:08.140]  So I use that as the test.
[09:08.780 --> 09:12.940]  So I found some stuff over the last couple of years that I did want to keep around and
[09:12.940 --> 09:19.060]  was able to isolate clones off of it and keep them clean, make sure that there wasn't any
[09:19.060 --> 09:23.300]  pest problems or anything, quarantined them away from the rest of my garden.
[09:23.460 --> 09:27.340]  Once they were clean, you know, introduce them back into population.
[09:28.100 --> 09:33.980]  So, yeah, I'm pretty, pretty happy with my findings on that and, you know, always learning.
[09:34.980 --> 09:40.060]  Definitely. And, you know, sometimes we're all, you know, a little bit of risk takers in one
[09:40.060 --> 09:44.180]  way or another, and sometimes you want to know what happens, what if?
[09:44.260 --> 09:48.020]  So sometimes you put yourself in different situations.
[09:50.620 --> 09:55.300]  No, sometimes when you get things down, you may get a little bored and you want to spice up
[09:55.300 --> 10:00.100]  your life. So I know people that intentionally give themselves infestations or will
[10:00.100 --> 10:04.420]  intentionally try to get PM and then they just go at it from there.
[10:05.860 --> 10:10.460]  Fortunately, I didn't have to deal with that, but, you know, I can give a shout out to a
[10:10.460 --> 10:13.780]  really good breeder who does some stress testing, Alex Hardy.
[10:14.180 --> 10:19.620]  He'll do some dry farming and he's actually on FCP2.
[10:19.700 --> 10:21.900]  Shout out, mad props to Hardy Gear.
[10:21.940 --> 10:23.220]  His gear is Hardy.
[10:23.940 --> 10:25.420]  Yes. Yeah, definitely.
[10:25.420 --> 10:28.460]  He's got some stuff on the daga.garden website as well.
[10:28.460 --> 10:31.940]  But he does a show on the FCP02 channel.
[10:31.940 --> 10:33.980]  So anybody want to check that out?
[10:34.340 --> 10:40.620]  Go and check it out. Yeah, he's a very, very knowledgeable guy and he works with a lot of
[10:40.620 --> 10:41.740]  older strains.
[10:41.740 --> 10:47.980]  It's not, you know, things that people are posting on Instagram or hype boy.
[10:48.020 --> 10:48.980]  That's that's what I'm saying.
[10:49.060 --> 10:50.540]  Alex is not a hype boy.
[10:50.540 --> 10:53.180]  He's he's a solid dude who puts in work.
[10:53.180 --> 10:58.060]  So that's cool to see here or to know another person that's running his gear.
[10:58.460 --> 11:04.060]  That's awesome. Yeah, I have a few of his packs in the vault that I'm itching to get back
[11:04.060 --> 11:07.420]  into here soon. His gears performed very well for me outside.
[11:07.420 --> 11:13.300]  I really dig how he treats his environments.
[11:13.900 --> 11:19.940]  Yeah. Now, so we're talking about kind of living soil and, you know, I'll go both of you
[11:19.940 --> 11:20.900]  guys on this question.
[11:20.900 --> 11:22.940]  Maybe John will go with you first here.
[11:23.740 --> 11:27.180]  With the living soil, are you in pots or are you in beds?
[11:27.580 --> 11:30.780]  What size of a soil mass do you work with a lot of times?
[11:31.140 --> 11:38.780]  I'm running in 10 or 15 gallon containers, but really it is I the beds is the way to go.
[11:39.660 --> 11:43.220]  It's definite. I haven't added my worms yet.
[11:43.220 --> 11:45.780]  I got my hungry bin over here.
[11:46.260 --> 11:48.860]  The last time I showed Alex that he was like, it's scary.
[11:48.860 --> 11:52.900]  I don't want. So that's the next step is the beds.
[11:52.900 --> 11:55.380]  And but I don't my space right now.
[11:55.380 --> 11:56.700]  It really doesn't allow me.
[11:56.700 --> 11:58.580]  I like to be able to move the plants around.
[11:59.140 --> 12:03.300]  And really, my name is Gross Space Killer on the IG, but it's the space that's killing me.
[12:03.300 --> 12:06.660]  So I have to keep my plants mobile so I can move them around.
[12:07.540 --> 12:12.900]  I can show you some stocks where I've been like I'm like, how do you fit an eight foot plant in an eight foot ceiling height?
[12:13.340 --> 12:17.860]  Bend it in half. So it's like I'm going around doing a plant yoga.
[12:19.220 --> 12:23.580]  Maintaining the space is really it is really killing me, but need more space.
[12:23.980 --> 12:29.380]  But always. But but yeah, I do sevens and fifteens because I don't think you should really be going less than that
[12:30.220 --> 12:32.220]  for the balance of of what you're doing.
[12:32.220 --> 12:40.460]  And and honestly, if you have like a, you know, a bed and even if you're not doing the horizontal method in it,
[12:40.460 --> 12:43.260]  it's still going to outperform pots.
[12:43.500 --> 12:47.580]  And I really believe in companion and plants are very, very.
[12:49.500 --> 12:51.180]  They help each other. They help each other.
[12:51.180 --> 12:52.500]  We can learn a lot from plants.
[12:53.300 --> 12:55.700]  Yeah. Yeah. And how about you, Chef?
[12:55.700 --> 12:58.980]  Do you prefer. Well, what are you using?
[12:58.980 --> 13:02.660]  I would love beds, but I'm not using beds because I don't have space for bed.
[13:02.660 --> 13:05.660]  So I guess what are you currently using versus what do you prefer?
[13:07.340 --> 13:18.980]  Well, currently I'm using pots, but like both of you, I would prefer beds and I plan to move to at least a four by four or maybe hopefully a four by eight in the near future.
[13:19.420 --> 13:34.340]  I started like John in tens and fifteens and I kind of moved my way down actually and tried to experiment to see what I could do for my space.
[13:34.340 --> 13:37.620]  So tens and fifteens ended up being a little too big for me.
[13:37.620 --> 13:44.180]  So I've worked my way down to five sevens that I top dress and maintain throughout cycles.
[13:44.180 --> 13:48.100]  I've gotten to a pretty good rhythm of what I'm working with.
[13:48.180 --> 13:52.420]  So fives and sevens and then ones in my nurseries.
[13:53.300 --> 14:01.940]  Okay. And I've used. So I've been using the Sohum Living Soil, which I've been running in the seven gallon containers.
[14:01.940 --> 14:04.420]  I was going to say Subcool would say seven's the way to go.
[14:04.420 --> 14:07.460]  He always said seven gallons, seven gallons with the Super Soil.
[14:08.260 --> 14:09.220]  Definitely. Yeah.
[14:10.100 --> 14:11.700]  It's working good for me.
[14:11.700 --> 14:13.940]  I did do on this last run.
[14:13.940 --> 14:17.060]  I went a little bit longer with veg just because I was gone.
[14:17.060 --> 14:24.660]  So they got a little bit bigger and I did the top dressing with some Kiss Organic stuff, kind of like all in one.
[14:25.380 --> 14:26.500]  So that was nice.
[14:26.500 --> 14:30.020]  I didn't have to play mad scientist on that.
[14:30.020 --> 14:32.180]  I was just like, bam, here we go.
[14:33.220 --> 14:40.900]  But with top dressing, how long are you typically top dressing like ahead of when you're like
[14:40.900 --> 14:44.500]  anticipating a shortage or anticipating a need for some of that?
[14:44.980 --> 14:49.380]  You doing it the second that you see an issue or you got to plan ahead on that?
[14:50.500 --> 14:52.980]  Yeah, I try to plan ahead on that.
[14:52.980 --> 14:54.420]  Typically by two weeks.
[14:55.380 --> 14:56.500]  I'm in the five.
[14:56.500 --> 15:05.620]  So I've seen issues arise in the past that I've learned to time appropriately and cut things off in the past.
[15:06.500 --> 15:13.380]  With a combination of compost from a farm up here in Maine called Living Acres Farms.
[15:13.380 --> 15:14.340]  His name is Tony.
[15:14.340 --> 15:14.900]  He's great.
[15:14.900 --> 15:15.940]  They're out of New Sharon.
[15:17.060 --> 15:18.660]  Best compost that I've used.
[15:18.660 --> 15:21.940]  I got a couple of farmers from Minnesota who have tried it out.
[15:23.300 --> 15:24.980]  Some guys down in New Jersey.
[15:24.980 --> 15:27.220]  They say it's the best stuff they've used.
[15:27.220 --> 15:31.380]  It's a biologically complete, biodynamic compost.
[15:31.380 --> 15:37.460]  They also make a greenhouse soil mix, which is the best bag stuff that I do here in Maine,
[15:39.060 --> 15:42.420]  which is a compost based mix that they use their compost one in.
[15:43.540 --> 15:45.940]  A little bit of sphagnum peat from Maine.
[15:47.460 --> 15:48.180]  Regular peat.
[15:48.740 --> 15:51.300]  I try to be mindful of how much peat I use.
[15:51.300 --> 15:53.220]  So I do use another cocoa based soil.
[15:54.900 --> 15:59.300]  But also they use fish meal that they get from the coast of Maine in that mix.
[16:00.020 --> 16:04.660]  And that is pretty good for a water only mix for about six weeks.
[16:05.780 --> 16:13.140]  And you can talk to their compost, some stone dust, some KISS Organics at Hussey.
[16:14.340 --> 16:19.460]  And water into microbes and pretty much that's good to go.
[16:20.260 --> 16:23.220]  But I have respect for that farm out there.
[16:23.220 --> 16:23.860]  They're doing it right.
[16:24.980 --> 16:28.980]  And you're using the Organic Mechanics soil too, right?
[16:28.980 --> 16:30.020]  Give them a shout out there.
[16:32.500 --> 16:34.500]  Mark Hyland from Organics Mechanics.
[16:34.500 --> 16:35.300]  He's a great guy.
[16:36.020 --> 16:42.980]  So what I really like about Mark is that he won't use peat moss.
[16:43.700 --> 16:45.620]  And he doesn't use perlite as well.
[16:45.620 --> 16:46.820]  He uses rite hulls.
[16:47.940 --> 16:52.740]  And I like that because they break down and I believe they provide a little bit of silica over
[16:52.740 --> 16:53.240]  time.
[16:54.820 --> 16:59.620]  So the cocoa will fluff out the soil and give you a little bit more aeration.
[17:01.460 --> 17:02.580]  Which is really nice too.
[17:03.220 --> 17:05.780]  But they don't use bat guanos.
[17:05.780 --> 17:09.380]  They don't use seabird guanos, which I really appreciate because that's been known to be
[17:09.380 --> 17:10.660]  detrimental to the environment.
